designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D101,SMF24CA,D_SOD-123F,176.403,-80.518,0,top
D102,SMF24CA,D_SOD-123F,176.784,-64.897,0,top
D103,SMF24CA,D_SOD-123F,172.847,-96.393,0,top
D104,SMF24CA,D_SOD-123F,177.676,-96.393,180,top
D105,BAT54C,SOT-23,168.871369,-57.477849,90,top
D106,BAT54C,SOT-23,168.844,-72.583,90,top
D107,BAT54C,SOT-23,168.844,-103.0755,90,top
D108,BAT54C,SOT-23,168.844,-86.868,90,top
J101,Conn_01x01_PAD,Conn_pin_PLC,158.159672,-59.918939,0,top
J105,Conn_01x01_PAD,Conn_pin_PLC,158.153763,-90.41902,0,top
J106,Conn_01x01_PAD,Conn_pin_PLC,158.144199,-85.326469,0,top
J108,Conn_01x01_PAD,Conn_pin_PLC,158.165361,-54.839351,0,top
J109,Conn_01x01_PAD,Conn_pin_PLC,158.148266,-105.653999,0,top
J110,Conn_01x01_PAD,Conn_pin_PLC,158.150712,-100.565452,0,top
J114,Conn_01x01_PAD,Conn_pin_PLC,158.149695,-70.094,0,top
J115,Conn_01x01_PAD,Conn_pin_PLC,158.153068,-75.17454,0,top
J117,XY128V-A-5.08-3P,XY128V-A-5.08-3P,175.768,-111.506,90,top
J118,XY128V-A-5.08-2P,1729128,175.768,-90.678,90,top
J119,XY128V-A-5.08-2P,1729128,175.768,-59.182,90,top
J120,XY128V-A-5.08-2P,1729128,175.768,-74.93,90,top
J122,B04B-XASK-1,CONN_B04B-XASK-1_JST,172.212,-46.99,180,top
