designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D301,SMF24CA,D_SOD-123F,151.26075,-86.285,0,top
D302,SMF24CA,D_SOD-123F,152.88825,-102.025,180,top
D303,SMF24CA,D_SOD-123F,152.15575,-117.795,180,top
D304,SMF24CA,D_SOD-123F,156.06825,-86.285,180,top
D305,BAT54C,SOT-23,160.38825,-125.265,-90,top
D306,BAT54C,SOT-23,160.24825,-110.075,-90,top
D307,BAT54C,SOT-23,160.24825,-79.635,-90,top
D308,BAT54C,SOT-23,160.28825,-95.865,-90,top
J201,Conn_01x01_PAD,Conn_pin_PLC,117.83,-118.072224,0,top
J202,Conn_01x01_PAD,Conn_pin_PLC,117.85,-112.984446,0,top
J203,Conn_01x01_PAD,Conn_pin_PLC,117.86,-107.906668,0,top
J204,Conn_01x01_PAD,Conn_pin_PLC,117.85,-102.83889,0,top
J205,Conn_01x01_PAD,Conn_pin_PLC,117.78,-97.781112,0,top
J206,Conn_01x01_PAD,Conn_pin_PLC,117.86,-92.673334,0,top
J207,Conn_01x01_PAD,Conn_pin_PLC,117.86,-87.585556,0,top
J208,Conn_01x01_PAD,Conn_pin_PLC,117.85,-82.527778,0,top
J209,Conn_01x01_PAD,Conn_pin_PLC,117.83,-77.43,0,top
J210,Conn_01x01_PAD,Conn_pin_PLC,117.83,-72.372224,0,top
J221,DB128L-5.08-2P-BK-S,1729128,137.62825,-112.837224,90,top
J222,DB128L-5.08-2P-BK-S,1729128,137.65825,-102.482224,90,top
J223,DB128L-5.08-2P-BK-S,1729128,137.60825,-81.947224,90,top
J224, DB128L-5.08-2P-BK-S,1729128,137.65825,-122.857224,90,top
J225,DB128L-5.08-2P-BK-S,1729128,137.62825,-92.157224,90,top
J226,B04B-XASK-1,CONN_B04B-XASK-1_JST,141.04825,-131.047224,0,top
J307,Conn_01x01_PAD,Conn_pin_PLC,169.84,-117.98,0,top
J308,Conn_01x01_PAD,Conn_pin_PLC,169.84,-123.07,0,top
J309,Conn_01x01_PAD,Conn_pin_PLC,169.82,-72.27,0,top
J310,Conn_01x01_PAD,Conn_pin_PLC,169.82,-77.35,0,top
J311,Conn_01x01_PAD,Conn_pin_PLC,169.83,-87.5,0,top
J312,Conn_01x01_PAD,Conn_pin_PLC,169.85,-92.59,0,top
J315,Conn_01x01_PAD,Conn_pin_PLC,169.85,-102.76,0,top
J316,Conn_01x01_PAD,Conn_pin_PLC,169.84825,-107.815,0,top
J317,DB128L-5.08-3P-BK-S,XY128V-A-5.08-3P,153.46825,-71.405,-90,top
J318, DB128L-5.08-2P-BK-S,1729128,153.46825,-92.04,-90,top
J319,DB128L-5.08-2P-BK-S,1729128,153.41825,-123.6,-90,top
J320,DB128L-5.08-2P-BK-S,1729128,153.44825,-107.655,-90,top
J321,B04B-XASK-1,CONN_B04B-XASK-1_JST,157.09505,-135.824601,0,top
R201,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,129.73825,-120.332224,90,top
R202,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,129.77825,-105.237224,-90,top
R203,475R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,129.77825,-89.942224,-90,top
R204,475R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,129.86825,-79.722224,-90,top
