Ref,Val,Package,PosX,PosY,Rot,Side
"J211","Conn_01x01_PAD","Conn_pin_PLC",75.648250,-113.152224,180.000000,bottom
"J212","Conn_01x01_PAD","Conn_pin_PLC",75.566500,-108.062224,180.000000,bottom
"J213","Conn_01x01_PAD","Conn_pin_PLC",75.576500,-102.982224,180.000000,bottom
"J214","Conn_01x01_PAD","Conn_pin_PLC",75.566500,-97.912224,180.000000,bottom
"J215","Conn_01x01_PAD","Conn_pin_PLC",75.628250,-92.825000,180.000000,bottom
"J216","Conn_01x01_PAD","Conn_pin_PLC",75.576500,-87.742224,180.000000,bottom
"J217","Conn_01x01_PAD","Conn_pin_PLC",75.576500,-82.652224,180.000000,bottom
"J218","Conn_01x01_PAD","Conn_pin_PLC",75.566500,-77.592224,180.000000,bottom
"J219","Conn_01x01_PAD","Conn_pin_PLC",75.546500,-72.492224,180.000000,bottom
"J220","Conn_01x01_PAD","Conn_pin_PLC",75.546500,-67.432224,180.000000,bottom
"J301","Conn_01x01_PAD","Conn_pin_PLC",129.528250,-118.375000,180.000000,bottom
"J303","Conn_01x01_PAD","Conn_pin_PLC",129.548250,-72.655000,180.000000,bottom
"J304","Conn_01x01_PAD","Conn_pin_PLC",129.528250,-67.595000,180.000000,bottom
"J305","Conn_01x01_PAD","Conn_pin_PLC",129.538250,-87.895000,180.000000,bottom
"J308","Conn_01x01_PAD","Conn_pin_PLC",129.528250,-113.315000,180.000000,bottom
"J312","Conn_01x01_PAD","Conn_pin_PLC",129.528250,-82.815000,180.000000,bottom
"J313","Conn_01x01_PAD","Conn_pin_PLC",129.528250,-103.145000,180.000000,bottom
"J316","Conn_01x01_PAD","Conn_pin_PLC",129.538250,-98.045000,180.000000,bottom
