designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D301,SS34,D_SMA,106.325,-82.7,0,top
D302,SS34,D_SMA,109.45,-97.725,180,top
D303,SS34,D_SMA,109.375,-113.15,180,top
D305,BAT54C,SOT-23,117.55825,-120.565,-90,top
D306,BAT54C,SOT-23,117.41825,-105.375,-90,top
D307,BAT54C,SOT-23,117.41825,-74.935,-90,top
D308,BAT54C,SOT-23,117.45825,-91.165,-90,top
D309,SS34,D_SMA,113.225,-82.725,180,top
J201,Conn_01x01_PAD,Conn_pin_PLC,73.06175,-113.165,0,top
J202,Conn_01x01_PAD,Conn_pin_PLC,72.99,-108.044446,0,top
J203,Conn_01x01_PAD,Conn_pin_PLC,73,-102.966668,0,top
J204,Conn_01x01_PAD,Conn_pin_PLC,72.99,-97.89889,0,top
J205,Conn_01x01_PAD,Conn_pin_PLC,72.97175,-92.835,0,top
J206,Conn_01x01_PAD,Conn_pin_PLC,73,-87.733334,0,top
J207,Conn_01x01_PAD,Conn_pin_PLC,73,-82.645556,0,top
J208,Conn_01x01_PAD,Conn_pin_PLC,72.99,-77.587778,0,top
J209,Conn_01x01_PAD,Conn_pin_PLC,72.97,-72.49,0,top
J210,Conn_01x01_PAD,Conn_pin_PLC,72.97,-67.432224,0,top
J221,Dorabo-DB128L_5_08_2P_BKS,1729128,92.64,-107.9,90,top
J222,Dorabo-DB128L_5_08_2P_BKS,1729128,92.64,-97.74,90,top
J223,Dorabo-DB128L_5_08_2P_BKS,1729128,92.64,-77.42,90,top
J224,Dorabo-DB128L_5_08_2P_BKS,1729128,92.64,-118.06,90,top
J225,Dorabo-DB128L_5_08_2P_BKS,1729128,92.64,-87.58,90,top
J226,B04B-XASK-1,CONN_B04B-XASK-1_JST,95.66,-125.97,0,top
J307,Conn_01x01_PAD,Conn_pin_PLC,127.01,-113.28,0,top
J308,Conn_01x01_PAD,Conn_pin_PLC,127.01,-118.37,0,top
J309,Conn_01x01_PAD,Conn_pin_PLC,126.99,-67.57,0,top
J310,Conn_01x01_PAD,Conn_pin_PLC,126.99,-72.65,0,top
J311,Conn_01x01_PAD,Conn_pin_PLC,127,-82.8,0,top
J312,Conn_01x01_PAD,Conn_pin_PLC,127.02,-87.89,0,top
J315,Conn_01x01_PAD,Conn_pin_PLC,127.02,-98.06,0,top
J316,Conn_01x01_PAD,Conn_pin_PLC,127.01825,-103.115,0,top
J317, DB128L-5.08-2P-BK-S,1729128,110.5,-87.65,-90,top
J318,DB128L-5.08-3P-BK-S,XY128V-A-5.08-3P,110.5,-67.25,-90,top
J319,DB128L-5.08-2P-BK-S,1729128,110.5,-118.05,-90,top
J320,DB128L-5.08-2P-BK-S,1729128,110.5,-102.81,-90,top
J321,B04B-XASK-1,CONN_B04B-XASK-1_JST,114.26,-130.69,0,top
R201,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,84.87825,-115.392224,90,top
R202,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,84.91825,-100.297224,-90,top
R203,475R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,84.91825,-85.002224,-90,top
R204,475R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,85.00825,-74.782224,-90,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,101.3,-85.14,90,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,101.3,-99.16,90,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,101.3,-113.17,90,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,101.29,-71.11,90,top
mouse-bite-2mm-slot,VAL**,mouse-bite-2mm-slot,101.3,-127.2,90,top
