designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J101,Conn_01x01_PAD,Conn_pin_PLC,133.848847,-82.892303,0,top
J102,Conn_01x01_PAD,Conn_pin_PLC,133.827476,-123.521415,0,top
J103,Conn_01x01_PAD,Conn_pin_PLC,133.827476,-118.442966,0,top
J104,Conn_01x01_PAD,Conn_pin_PLC,133.843095,-113.372303,0,top
J105,Conn_01x01_PAD,Conn_pin_PLC,133.827476,-108.286084,0,top
J106,Conn_01x01_PAD,Conn_pin_PLC,133.855227,-103.212303,0,top
J107,Conn_01x01_PAD,Conn_pin_PLC,133.82816,-98.121694,0,top
J108,Conn_01x01_PAD,Conn_pin_PLC,133.827476,-93.050761,0,top
J109,Conn_01x01_PAD,Conn_pin_PLC,133.827476,-87.97232,0,top
J110,Conn_01x01_PAD,Conn_pin_PLC,133.846116,-123.516547,0,top
J111,Conn_01x01_PAD,Conn_pin_PLC,133.829272,-118.443869,0,top
J112,Conn_01x01_PAD,Conn_pin_PLC,133.835869,-113.364473,0,top
J113,Conn_01x01_PAD,Conn_pin_PLC,133.826025,-108.293173,0,top
J114,Conn_01x01_PAD,Conn_pin_PLC,133.84614,-103.212303,0,top
J115,Conn_01x01_PAD,Conn_pin_PLC,133.814529,-98.135324,0,top
J116,Conn_01x01_PAD,Conn_pin_PLC,133.828433,-93.039563,0,top
J117,Conn_01x01_PAD,Conn_pin_PLC,133.846429,-87.986803,0,top
J118,DB128L-5.08-2P-BK-S,1729128,153.289,-128.143,90,top
J120,Conn_01x01_PAD,Conn_pin_PLC,133.869293,-82.892303,0,top
J121,Conn_01x01_PAD,Conn_pin_PLC,133.824486,-77.815977,0,top
J122,DB128L-5.08-2P-BK-S,1729128,153.289,-117.983,90,top
J123,DB128L-5.08-2P-BK-S,1729128,153.289,-87.503,90,top
J124,DB128L-5.08-2P-BK-S,1729128,153.289,-107.823,90,top
J125,DB128L-5.08-2P-BK-S,1729128,153.289,-97.663,90,top
J126,22292041,CONN_22-29-2041_MOL,149.352,-135.763,0,top
R101,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,145.669,-125.73,90,top
R102,360R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,145.669,-110.617,-90,top
R103,475R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,145.669,-95.377,-90,top
R104,475R,R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,145.669,-85.14,-90,top
