Designator,Mid X,Mid Y,Rotation,Layer
J101,138.39175,-82.88746,0.0,top
J102,138.39175,-123.514996,0.0,top
J103,138.39175,-118.436547,0.0,top
J104,138.64575,-113.380296,0.0,top
J105,138.39175,-108.279665,0.0,top
J106,138.64575,-103.217074,0.0,top
J107,138.39175,-98.122783,0.0,top
J108,138.39175,-93.044342,0.0,top
J109,138.39175,-87.965901,0.0,top
J110,138.64575,-123.543518,0.0,top
J111,138.64575,-118.461907,0.0,top
J112,138.39175,-113.358106,0.0,top
J113,138.64575,-108.298685,0.0,top
J114,138.39175,-103.201224,0.0,top
J115,138.64575,-98.135463,0.0,top
J116,138.64575,-93.053852,0.0,top
J117,138.64575,-87.972241,0.0,top
J118,148.082,-128.27,90.0,top
J119,141.00825,-77.809019,180.0,bottom
J120,138.64575,-82.89063,0.0,top
J121,138.64575,-77.795,0.0,top
